level1							level2							level3							level4							level5					
chainmail	HP	MP	強度	Enchant	attribute		chainmail	HP	MP	強度	Enchant	attribute		chainmail	HP	MP	強度	Enchant	attribute		chainmail	HP	MP	強度	Enchant	attribute		chainmail	HP	MP	強度	Enchant	attribute
helmet	0	2	0	-			helmet	0	2	1	-	-		helmet	0	4	2	-	-		helmet	2	5	2	5	-		helmet	3	10	5	-	-
chestplate	0	4	1	-			chestplate	0	7	2	-	-		chestplate	0	10	2	6	-		chestplate	2	18	6	5	-		chestplate	4	30	11	6	-
leggings	0	4	1	-			leggings	0	7	2	-	-		leggings	0	10	2	6	-		leggings	2	18	6	5	-		leggings	4	30	11	6	-
boots	0	2	0	-			boots	0	2	1	-	-		boots	0	4	2	-	-		boots	2	5	2	5	-		boots	3	10	5	-	-
	0	12	2	0	0			0	18	6	0	0			0	28	8	12	0			8	46	16	20	0			14	80	32	12	0
																																	
copper	HP	MP	強度	Enchant	attribute		copper	HP	MP	強度	Enchant	attribute		copper	HP	MP	強度	Enchant	attribute		copper	HP	MP	強度	Enchant	attribute		copper	HP	MP	強度	Enchant	attribute
helmet		2					helmet	0	2	0	0	-		helmet	0	4	0		-		helmet	1	6	1	5	-		helmet	3	10	4	5	-
chestplate		2					chestplate	0	3	1	5	-		chestplate	0	8	2	5	-		chestplate	1	10	5	5	-		chestplate	5	20	7	5	-
leggings		2					leggings	0	3	1	5	-		leggings	0	8	2	5	-		leggings	1	10	5	5	-		leggings	5	20	7	5	-
boots		2					boots	0	2	0	0	-		boots	0	4	0		-		boots	1	6	1	5	-		boots	3	10	4	5	-
	0	8	0	0	0			0	10	2	10	0			0	24	4	10	0			4	32	12	20	0			16	60	22	20	0
																																	
gold	HP	MP	強度	Enchant	attribute		gold	HP	MP	強度	Enchant	attribute		gold	HP	MP	強度	Enchant	attribute		gold	HP	MP	強度	Enchant	attribute		gold	HP	MP	強度	Enchant	attribute
helmet		4					helmet	0	7	0	0	-		helmet	0	7	0		-		helmet	1	10	1	5	-		helmet	3	20	4	5	-
chestplate		7					chestplate	0	10	1	6	-		chestplate	0	20	2	6	-		chestplate	1	32	5	5	-		chestplate	5	50	7	5	-
leggings		7					leggings	0	10	1	6	-		leggings	0	20	2	6	-		leggings	1	32	5	5	-		leggings	5	50	7	5	-
boots		4					boots	0	7	0	0	-		boots	0	7	0		-		boots	1	10	1	5	-		boots	3	20	4	5	-
	0	22	0	0	0			0	34	2	12	0			0	54	4	12	0			4	84	12	20	0			16	140	22	20	0
																																	
leather	HP	MP	強度	Enchant	attribute		leather	HP	MP	強度	Enchant	attribute		leather	HP	MP	強度	Enchant	attribute		leather	HP	MP	強度	Enchant	attribute		leather	HP	MP	強度	Enchant	attribute
helmet		5					helmet		8	0	0	-		helmet	0	10	0	0	-		helmet	0	20	1	5	-		helmet	2	30	3	5	-
chestplate		10					chestplate		15	1	0	-		chestplate	0	30	2	5	-		chestplate	0	40	3	5	-		chestplate	3	70	5	5	-
leggings		10					leggings		15	1	0	-		leggings	0	30	2	5	-		leggings	0	40	3	5	-		leggings	3	70	5	5	-
boots		5					boots		8	0	0	-		boots	0	10	0	0	-		boots	0	20	1	5	-		boots	2	30	3	5	-
	0	30	0	0	0			0	46	2	0	0			0	80	4	10	0			0	120	8	20	0			10	200	16	20	0
